Term,es,nes,pval,fdr,geneset_size,matched_size,genes
Phospholipase C Activity (GO:0004629),0.5129452448413039,1.5261541931089733,0.03880070546737213,0.11742058542534639,26,21,"PLCL1,CHRM3,F2RL2,PLCE1,PLCG1,PLCG2,PLCL2,EDNRA,CCL5,PLCB3,PLCB1,PLCB4,NOTUM,PLCD3,PLCH1,PDIA3,CHRM1,PLCD4,PLCD1,CASR,PLCB2"
Acetylation-Dependent Protein Binding (GO:0140033),0.5137424864741532,1.5187596970864052,0.050699300699300696,0.11754565955344477,21,19,"ZMYND8,BAZ2A,BRD4,KMT2A,ZZEF1,EP300,PSME4,PHIP,BRD2,TRIM24,ZZZ3,BRD9,YEATS4,MLLT1,BRD3,BRD7,MLLT3,CARM1,DPF2"
Neuropilin Binding (GO:0038191),0.5295127670505191,1.520423521707747,0.047619047619047616,0.11772674390807529,17,17,"SEMA3F,TAOK2,PXDN,SEMA4B,SEMA4A,SEMA3C,SEMA3B,SEMA3E,SEMA4G,SEMA7A,SEMA3D,VEGFA,SEMA4F,SEMA4D,SEMA3A,SEMA3G,SEMA4C"
Sodium Ion Transmembrane Transporter Activity (GO:0015081),0.44171435771960943,1.5216127084604263,0.030575539568345324,0.11836442890517189,40,35,"SLC8A3,SLC4A8,SLC9A1,SLC9A2,TRPV3,SLC6A20,SLC8A1,CNNM4,P2RX7,KCNK1,SLC9B1,MCOLN3,SCNN1A,SCN7A,SLC9A3,SLC9A7,MCOLN1,SLC4A11,SLC9A5,KCNK3,SLC9A4,NALCN,TRPM4,SCNN1G,TRPM5,SCNN1D,SLC8A2,SLC8B1,SLC41A1,SLC5A10,SLC41A3,SLC9A8,SLC9A9,SLC9B2,SLC9C2"
Endopeptidase Activity (GO:0004175),0.32574320634784176,1.5267707758106996,0.0015037593984962407,0.11843222252325478,311,238,"ECEL1,ADAMTS18,MMP28,PCSK6,MMP25,ADAM33,MMP24,USP13,DDI2,USP33,BACE1,ADAMTS12,PAPPA,USP8,USP34,TRABD2B,HPR,ADAMTS17,RHBDL3,ADAMTS20,MMP19,USP15,ECE1,UCHL1,USP9X,MASP1,ADAM18,USP32,PROZ,ADAMTS4,RHBDF2,IDE,PRSS50,KEL,ADAM19,SENP1,PSEN1,USP5,PIKFYVE,ADAM15,ADAM12,MBTPS2,PCSK4,TTF2,USP7,USP37,ADAMTS15,TMPRSS13,BMP1,NRDC,ESPL1,ERAP1,ADAMTS9,PCSK7,USP14,PCSK5,KLK6,FURIN,ADAMTS16,RHBDD1,ADAMTS2,KLK10,MMP2,KLKB1,CASP3,RHBDD3,MMP9,ADGRG6,SOS1,PITRM1,ADAM9,SFRP1,ADAM21,TYSND1,PLAU,RHBDF1,ADAM32,MMP10,USP30,APEH,USP49,NAPSA,ADAM20,CASP2,PRRG4,CAPN7,MMP23B,ADAM22,CASP8,CTSB,PGA5,NLN,CTSK,MMP16,ELANE,MMP1,ADAMTS7,USP20,ATG4D,USP11,CTSE,ADAMTS8,CTSV,MALT1,UBAC2,THOP1,CASP10,HTRA3,CTSZ,LGMN,ZNF160,ADAMTS19,ERAP2,F3,SPRTN,CTSD,ADAM8,SEC11C,PAPPA2,PRSS53,KCTD11,STK4,ADAMTS13,KLK14,TPP2,CTRL,PRSS22,ACE,MMP14,CFLAR,ADAM10,PHEX,USP6,ACE2,MBTPS1,KDM8,PDIA3,TLL2,SPG7,CASP9,ATG4B,PIK3IP1,MIPEP,USP21,CPNE1,PRSS3,MMP15,ZMPSTE24,HTRA1,ADAMTS10,MMP12,CARD8,PROC,AFG3L2,PIDD1,HTRA2,CORIN,CASP4,USP27X,PMPCB,ADAM11,CTSF,SEC11A,CLCA2,ADAM17,CASP6,TLL1,PARL,SHH,FAM110A,CTSC,HPN,F7,ADAM23,ATG4C,PSMA6,CTSH,NLRP1,PRSS36,PLAT,KLK13,ADAMTS3,PRSS2,PGC,HGFAC,BACE2,BPNT1,OVCH2,OMA1,ADAMTS5,CASP7,ADAMTS1,C1R,ADAM28,ATG4A,PSMB8,USP12,TMPRSS4,CTSO,PSMB9,PSMB10,PSMB6,GLMN,TASP1,TMPRSS2,CLCA1,RHBDL1,PRRG3,PRRG1,ADAMTS14,PCSK9,RCE1,TMPRSS6,USP2,DPP4,PSMB7,DLC1,ADAMTSL2,PSMB5,JMJD7,CLPP,CTSS,MMP21,F12,PRRG2,ADAMTS6,CTSL,C1S,MMP11,MEP1A,PGA4,HABP2,CFB,IMMP2L,ASPRV1,CASP1,C1RL,PLG"
Calcium Ion Binding (GO:0005509),0.32130973263242907,1.5223120424756473,0.0,0.11887151846034343,324,261,"TTYH2,CRACR2A,DSG2,SYT10,AMY2A,SCUBE1,PITPNM3,DSG1,ATP2A1,ENPP1,SMOC2,TKT,THBS4,ATP2B4,HPCAL4,TNNI3,SPOCK1,RAPGEF2,HPCAL1,LOXL2,PADI1,CASQ1,MYL11,CDH24,CALB2,DSC3,ITSN1,MASP1,AIF1L,RPH3A,ADGRL3,RUNX1,TGM2,S100A10,RET,CEMIP2,SLC25A13,AGRN,DUOX2,LETM1,MCTP1,ITPR2,CALML4,FBLN1,NELL2,SLC8A1,GPRIN1,CASQ2,ANXA8L1,SELL,PRKD2,SNTN,S100A11,ITGA5,BRAF,IQGAP1,CAPN3,SYT12,EFHD2,SLIT2,KCNIP4,CABYR,COMP,CAMKK2,GRM7,BCL2L10,SLIT3,AOC3,KCNIP3,CALM1,CDH2,MYL2,ITGB1,IDS,ASAH2,SLC25A23,STIM1,ESYT2,ESYT1,SPARC,ITLN1,LRP2,NRXN1,PITPNM2,TTYH3,TPM4,SYT5,PCDHA4,RCAN2,EML1,IHH,CALU,CANT1,ASPH,ALPL,MELK,ATP2A2,MYCBP2,PCLO,PPP3CB,CIB2,MMP1,SCIN,EFCAB11,PLA2G4C,REG4,DMTF1,RCVRN,GUCA1B,C2CD5,TOX4,PPP3R1,CALM2,RCN3,DYSF,MEX3B,NUCB1,NOL3,RCAN1,PLA2G4F,DNER,FER1L5,MYL5,RASGRP2,EFHD1,CALM3,S100P,CANX,NCS1,CDK5R1,FKBP9,VSNL1,ADAM8,SLC25A24,ATP2C1,MICU1,ANXA1,GALNT3,ADAMTS13,ITPR1,AMY1B,NOTCH4,CALML6,ALOX15B,PLA2G10,S100A4,NCALD,TUBB4A,GSN,HRC,CSRP1,PITPNM1,FBN1,S100A2,ESYT3,TRPM4,RYR1,PCDHB6,TRPM2,ENPP2,TRPM5,CPNE1,ADGRV1,SNCB,CCDC47,PRSS3,MAN1C1,TPD52,HPCA,MMP12,S100A1,THBS3,SRR,MYL7,PPP3CA,LPL,STIM2,PLA2G1B,BAIAP3,MAN1B1,MYOF,RASGRP3,CETN3,SHH,MCTP2,SDF4,S100A14,HSP90B1,SRI,COPS2,S100A13,SLC25A12,RCN1,CD320,PDCD6,ASPN,MICU3,BNIP2,AOC1,PLA2G4A,PLA2G4B,PRSS2,PLSCR4,DSG4,SPOCK3,NDUFAB1,COLEC11,S100A7,PLSCR1,ITPR3,SPOCK2,GJB2,TPT1,RASGRP1,C1R,SPARCL1,ANXA4,GCA,SELENOP,ASTN2,ANXA13,CHORDC1,CALR,GLCE,HSPA5,TPGS1,LTBP4,S100A9,NUCB2,DNASE1L3,CAPN1,VIL1,DNASE1L2,S100A6,CALB1,TNFAIP6,ZNF395,KCNIP2,ARSA,KCNIP1,PLSCR3,PLA2G5,CASR,CDHR5,PCP4,ITIH1,THBS1,RGN,TESC,MICU2,S100A3,S100A8,TTR,PCDHB8,SCGN,CETN2,CIB1,C1D,ENPP3,PCDHA7,SNCA"
Ubiquitin-Like Protein Peptidase Activity (GO:0019783),0.452756546849914,1.5080178775253388,0.032490974729241874,0.12551384582451142,33,31,"SENP8,USP48,USP15,USP9X,STAMBP,SENP1,USP47,USP5,USP7,USP28,USP14,SENP5,OTUD5,USP44,DESI2,USP30,USP25,SENP2,YOD1,ZRANB1,USPL1,OTULINL,UFSP1,USP43,OTUB1,USP18,UCHL3,SENP3,HINT1,COPS5,UFSP2"
G Protein-Coupled Receptor Activity (GO:0004930),0.33142529789089853,1.5027112143192227,0.001607717041800643,0.1285586678519661,259,160,"DRD2,FSHR,F2RL2,ADGRL4,MCHR1,CYSLTR2,ADGRF1,ADGRD1,GPR161,GLP2R,GPR19,CELSR2,LTB4R2,HTR1E,PCDHA6,ADORA2B,P2RY6,GPR150,GRM4,NPR1,CMKLR2,NTSR1,ADGRL3,GPR85,NPY,FFAR3,GPR42,VIPR2,GPR176,ADGRL2,PGR,GNAT2,RGL4,GPR83,APLNR,GPBAR1,GPR20,P2RY1,ADGRG5,TAPT1,ADGRG1,GPR87,NPFFR2,SLC39A9,P2RY14,ADCYAP1R1,GPR143,VIPR1,ADGRG6,C5AR1,CXCR4,HCAR1,TAS1R1,CX3CR1,GPR4,GRID1,CYSLTR1,DRD1,LPAR1,ADGRL1,GPER1,PCDHA4,PTH1R,KISS1R,TAS1R3,MC1R,CXCR5,OPRD1,GPR17,OPRK1,GRM8,GRM1,PDGFRL,LANCL1,QRFPR,CALCRL,GPR3,RORB,F2R,S1PR2,GRM2,ADGRB3,GPR75,GPR157,MTNR1A,GPR88,NMUR2,GPR78,CCR7,ADGRA1,GIPR,GABBR2,F2RL1,GPR39,PDGFRB,ADGRG2,ADGRF5,S1PR3,GPR156,ADGRV1,C3AR1,OXER1,ADORA2A,LPAR2,UTS2R,ADGRB1,GPR22,SSTR3,ADGRB2,GPR63,ADGRF3,LGR4,PMPCB,F2RL3,PTAFR,GPR35,ADGRD2,GPR27,GABBR1,ESR1,CXCR2,S1PR5,TM2D1,NMUR1,GPR146,ADGRF4,GPR135,TPRA1,S1PR1,LGR6,LPAR3,OPRL1,SUCNR1,GPR37L1,CMKLR1,NPBWR1,OPN3,RHOD,PTGDR2,GRM5,NPRL3,OPN4,CASR,PAX8,ADGRE5,PTH2R,GPR61,SCTR,ADORA1,LTB4R,GPR62,GRPR,MRGPRF,AREG,GPR173,FFAR2,GPR183,ADGRG7,GPR37,ELOVL4"
Cysteine-Type Endopeptidase Activity (GO:0004197),0.38640346874196735,1.4984554351376702,0.02023608768971332,0.13084751711837228,74,67,"USP13,CAPN2,USP33,USP8,USP34,USP15,UCHL1,USP9X,CAPN15,USP32,CAPN14,USP5,USP7,USP37,ESPL1,USP14,CAPN3,GPAA1,CASP3,SFRP1,USP30,USP49,CASP2,CAPN7,CASP8,CTSB,CTSK,CAPN6,USP20,ATG4D,USP11,CTSV,MALT1,CASP10,CTSZ,LGMN,CTSD,CAPN8,CFLAR,USP6,PDIA3,CAPN10,CASP9,ATG4B,PIGK,CAPN9,CAPN5,USP21,CAPNS1,CASP4,USP27X,CTSF,CASP6,CTSC,ATG4C,CTSH,CASP7,USP12,CTSO,CAPN1,RCE1,USP2,CAPN12,CAPN13,CTSS,CTSL,CASP1"
Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715),0.4618301953706787,1.4840160857923599,0.04262877442273535,0.14241963379770767,36,28,"PEAK1,FRK,ABL2,PTK2,JAK2,PKDCC,FYN,TEC,BMX,FER,JAK1,DYRK1A,TXK,TYK2,BTK,MELK,FES,CSK,SRC,PTK2B,JAK3,LYN,SYK,YES1,COLEC11,MATK,ZAP70,TNK1"
PDZ Domain Binding (GO:0030165),0.39261089964133356,1.4780689483937577,0.028862478777589132,0.14449500226268577,58,54,"NHERF1,TMEM88,DOCK4,ATP2B4,RAPGEF2,GRID2,LLGL2,FZD8,NLGN1,FZD9,PSEN1,KCNJ4,ERC1,SLC22A5,ARHGAP29,CXADR,GRM7,KIF14,ARHGEF16,FZD2,DHDDS,FZD7,SLC9A3,GRIA1,NSF,SSTR2,SLC22A4,KIDINS220,FZD4,SLC26A6,PTEN,CLCN3,CFTR,LLGL1,USHBP1,SDC2,CCDC88C,TGFBR3,PRKN,F11R,PLEKHA1,SRR,TBC1D10A,ADAM17,CXXC4,CADM1,PDZK1,GNG5,MAP2K2,FZD1,GNG12,CRIM1,CRIPT,ADRB1"
"DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)",0.3087815934082048,1.4752630268072193,0.0028776978417266188,0.14575739207388033,318,274,"PRRX1,GATA3,LEF1,GLI1,NOTCH2,TCF7L1,MEF2B,OTX2,IRX6,MYBL1,FOXF2,ELF4,FOXO3,REL,POU2F1,ZBED4,PLAGL1,HOXA1,MYT1,POU4F1,ALX4,FOXF1,MYOD1,IRX3,MLXIP,GDNF,GRHL3,HAND1,DLX5,NKRF,NRF1,HOXC4,RUNX1,WT1,TP73,RREB1,HOXD13,TCF21,ATF6,PRDM2,KLF10,USF3,ETV5,TFAP2A,HOXB7,ESRRB,TFAP2C,PAX6,TFAP2B,NFYC,PGR,IRF1,HOXB1,FOXO1,CDC5L,GRHL2,TCF12,NFATC3,HOXA5,PPARA,CLOCK,CREB3L1,SIX3,ZNF175,NFAT5,MIXL1,SOX18,ETV1,SOX7,STAT5B,SALL2,MYBL2,NR2C2,FOXK2,MEIS3,NR3C1,UBP1,SMAD1,HLF,SOX21,E2F2,ZFY,SOX17,NOTCH1,NFIB,SREBF1,HIF1A,GTF2I,ETV4,DAND5,PRDM15,ZBTB16,MEF2A,LHX4,GMEB1,ZNF780B,TFEC,STAT3,HOXA10,NKX6-3,PLAGL2,ATF5,MYCN,HOXA7,CASZ1,GRHL1,ZNF143,PRDM4,SOX11,SCX,FOXH1,ELF3,ZBTB17,FOXP3,FOXJ2,YY2,TBX5,RFX5,NFE2L2,HSD17B4,MYB,MZF1,TFCP2,CDX1,CEBPA,TFDP1,ZNF485,SOX15,SOX4,ZNF24,NFE2L1,FOXJ3,SMAD4,GABPA,LITAF,YY1,KLF4,ZNF71,NFATC1,ATMIN,ERG,ETS1,GATA4,E4F1,SOX9,VEZF1,TBX3,CREB1,NOTCH4,TFCP2L1,RBPJ,KCNH8,CEBPG,NFKB2,PEDS1,ONECUT2,ZBED1,PLAG1,EHF,ZNF300,NHLH1,TFAP4,SPIB,EGR2,ATF6B,ZNF76,HINFP,USF2,ZFX,RFX6,MECOM,SMAD2,GLIS2,HSF2,ZNF345,POU4F3,VENTX,HSF1,HOXB3,RLF,MYC,ZNF784,RXRB,ZNF639,FOXA1,CREB3L3,SOX12,ZNF329,GLIS3,ZIC3,TFAP2E,USF1,JUN,ESR1,ELK4,FOSL2,TFDP2,SRF,CREB3L4,ATF4,IRX4,SATB2,PRDM16,HOXB2,FOXC2,SOX3,ZSCAN21,FOXO4,HHEX,NKX2-6,PLSCR1,HAND2,PBX2,SOX30,NFIA,TP53,E2F3,RFXANK,NFYB,MITF,IRF5,KLF6,TCF7L2,HOXD8,NRL,KLF7,DDIT3,RFXAP,EGR1,MAFF,RELA,ATF3,FOXJ1,MEIS2,NR1H2,HNF1A,KLF5,NKX2-2,ZNF395,IRF2,SMAD3,IRF3,PPARG,NR1I2,FOS,NFKB1,KLF15,FOXC1,ONECUT1,NR4A2,SIX1,CREBRF,PHOX2A,ZNF597,NR1H4,HNF4G,NR2E3,POU2F3,GFI1B,BARX2,NR4A3,NR1I3,NKX2-5,E2F4,NPAS4,IRF4,AREG,ELOF1,MEIS1,ZNF580,NR4A1,STAT6,MYOG,MEF2C"
Tau Protein Binding (GO:0048156),0.41951984078390053,1.478155317378524,0.03180212014134275,0.1461356952617374,40,39,"ROCK2,TTBK2,GSK3B,TAOK1,TAOK2,ROCK1,EP300,BRSK2,FYN,CREBBP,DCTN1,METAP1,HSP90AA1,DYRK1A,MARK1,PPP5C,BRSK1,PICALM,PRKAA1,CLU,MARK3,HDAC6,LGMN,PPP2CB,HSP90AB1,PDZD2,MARK2,PPP2CA,MARK4,BAG2,SMAD2,METAP2,CDK5,GSK3A,TTBK1,STUB1,POTEF,BIN1,SNCA"
Protein Kinase A Regulatory Subunit Binding (GO:0034237),0.4946648131730861,1.4698054465462416,0.05026929982046679,0.14956636825809855,23,21,"PRKCA,PRRC1,RYR2,EZR,ARFGEF2,AKAP6,WASF2,WASF1,TDRD10,PJA2,AKAP8,WASF3,AKAP5,ARFGEF1,AKAP1,KCNQ1,GSKIP,AKAP9,AKAP8L,AKAP7,SPATC1L"
Frizzled Binding (GO:0005109),0.4500093636974674,1.4664289547107736,0.050816696914700546,0.1509414568904588,35,28,"RSPO3,WNT2,WNT3,WNT6,WNT9B,WNT2B,WNT11,LRP6,SFRP1,WNT7A,FZD7,WNT5B,DVL3,WNT7B,WNT9A,ZNRF3,DVL2,CCDC88C,DVL1,RYK,BAMBI,SDCBP,WNT5A,FZD1,WNT4,MYOC,WNT10B,RNF43"
Endopeptidase Activator Activity (GO:0061133),0.4756101916429243,1.4627339251164324,0.07116104868913857,0.1528175760505593,23,21,"ROCK2,PSME1,NLRP3,VSIR,APAF1,PYCARD,PSMD14,HSPD1,MALT1,NCSTN,TIMM50,LGMN,PSME3,NLRC4,PSENEN,CARD8,PSME2,NLRP1,NDUFA13,APH1A,APH1B"
Secondary Active Transmembrane Transporter Activity (GO:0015291),0.3945180111495302,1.4561861250212509,0.03716814159292035,0.15710133333286633,58,51,"SLCO4C1,SLCO2A1,SLC7A5,SLC16A12,SLC1A5,MCU,CLCN5,SLC47A1,SLC7A8,SLC19A1,SLC35E2B,XPR1,SLC6A4,SLCO4A1,SLCO5A1,SLC35D3,SLC35E1,SLC35C2,SLC22A7,SLC16A2,SLC22A4,UCP2,SLC20A1,SLC35C1,SLC5A12,SLC35D1,CDH17,CLCN3,SLC35E4,SLC25A15,SLC4A4,SLCO6A1,SLC22A9,SLC25A3,SLC35A1,SLCO3A1,CLCN6,SLC16A7,SLC46A1,SLC35E3,SLC20A2,SLC16A10,SLCO1A2,CLCN4,SLCO2B1,TMEM241,SLC25A16,SLC35D2,SLC17A4,SLCO1C1,SLC7A9"
Protein Kinase Activator Activity (GO:0030295),0.34958834157760443,1.4525140033236938,0.024013722126929673,0.15930763362322536,107,100,"AFAP1L2,RPTOR,MOB3B,BMP4,GCN1,TAOK1,TAOK2,MT3,IL6ST,DBF4,CAB39,ERBB3,RICTOR,TNKS1BP1,GPRC5D,TOPBP1,WNT11,INSR,GPRC5B,IQGAP1,CD24,IGF2,CCND1,TGFB1,PKN2,ETAA1,CALM1,MADD,DAB2IP,FERMT2,MAPK8IP2,MAP3K20,GPRC5C,DDX3X,PARP8,NCKAP1L,RHEB,SAMD15,ALS2,ERCC6,PDE8A,CCND3,RGCC,NEK9,SPDYA,WNK1,MAP2K1,RAD50,GDF2,CALM2,PRKAG2,SRC,DBF4B,MAP3K13,STRADA,GDF10,CALM3,CCDC88A,CAB39L,LONP1,CDK5R1,SPRY2,DELE1,AXIN1,STK4,GPRC5A,MARK2,CCND2,STK24,MOB1A,MAP3K12,STRADB,ATG13,MOB2,CMC4,RPLP1,PARP6,TAB1,SAV1,DAXX,BMP7,NRG1,DUSP19,GHRL,PARP16,FAM20A,MOB3C,MOB1B,STK11,EGFR,ARTN,CDPF1,MOB3A,MAP2K2,GRM5,TCL1A,MLST8,PRKRA,BMP2,AGAP2"
Intracellularly Gated Calcium Channel Activity (GO:0015278),0.5145044252449126,1.4468435691831087,0.07597173144876325,0.16311810991777698,15,15,"TRPA1,TPCN1,ITPR2,PRKD2,RYR2,MCOLN2,MCOLN3,RYR3,TRPV1,MCOLN1,ITPR1,RYR1,TRPM2,ITPR3,TPCN2"
Basic Amino Acid Transmembrane Transporter Activity (GO:0015174),0.5184365788672736,1.4429853262303614,0.06878306878306878,0.16528042876679025,18,16,"SLC7A3,SLC38A5,SLC7A4,SLC7A2,SLC66A1,SLC47A1,SLC7A1,SLC3A1,SLC25A15,SLC38A3,SLC7A6,SLC7A7,SLC38A9,TMEM44,SLC25A29,SLC7A9"
Phosphatidylinositol-4-Phosphate Binding (GO:0070273),0.4550826767632473,1.434424635492563,0.05745062836624776,0.17296343796683925,27,25,"CERT1,GSDMC,SESTD1,PLEKHA5,NLRP3,RUBCNL,PLEKHA8,DAB2IP,SAP30L,OSBPL5,JPH2,OSBP,OSBPL8,GOLPH3L,OBSCN,WASHC2C,GSDMB,LANCL2,PLEKHF1,ARFIP2,GOLPH3,PLA2G4A,PLEKHA3,SNX3,GSDMD"
Nuclear Retinoic Acid Receptor Binding (GO:0042974),0.5176102919402032,1.4326099096029052,0.07256637168141593,0.17305027199175524,17,16,"NCOA6,CNOT1,NSD1,ASXL1,NRIP1,ARID5A,MBD4,HMGA1,MED25,VDR,RARG,TACC1,PRMT2,PPARG,SNW1,NR4A2"
Cell Adhesion Mediator Activity (GO:0098631),0.40849206780333075,1.4295812410037305,0.03430531732418525,0.17456307518049494,39,39,"CNTN1,CNTN2,CTNND1,NRCAM,CNTN4,CNTN6,LAMA5,PALLD,NECTIN3,CLDN19,MYPN,CD47,MCAM,BSG,ESAM,IGSF9,LRRC4C,CLDN3,ROBO3,NFASC,CDH5,ROBO4,NINJ1,CLSTN3,DSCAML1,EMB,PLXNB3,DSCAM,NPTN,NECTIN1,NEXN,MIPEP,NTNG2,SIRPA,JAM3,BCAM,CD200,VCAM1,CNTN5"
RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629),0.30341025955851947,1.4220353122590215,0.00782472613458529,0.18154360091367897,232,220,"ISL1,PRRX1,GATA3,TCF7L1,HMGA2,PITX1,HEY1,NR0B1,GSK3B,PRKDC,PDCD11,TAF1,BAZ2A,ANKRD2,MYOD1,GDNF,CHD4,HDAC4,HAND1,MDFIC,IFI27,TRIM32,NCOA1,NHLH2,TP73,PARP1,NCOR1,EP300,ARID1A,PTPRT,NCOA2,ETS2,DOT1L,MYOCD,NRIP1,ESRRB,DACT1,LDB2,GATA2,RBM15,CD34,SMARCA4,HIPK2,TAF4B,PPARA,CREBBP,NCOA3,HIF1AN,MKKS,MIXL1,MBD4,BMAL1,FAF1,UHRF2,HIRA,AHR,TAL1,DHX9,TCERG1,MIA3,ZFPM2,TP53BP1,SOX17,HES6,SP3,HIF1A,GTF2I,DAND5,BEX2,EOMES,MEF2A,POU5F1,MTA2,PROX1,STAT3,PITX2,ADD1,ID2,EPAS1,DNMT3A,RBBP8,TEAD3,TAF4,DLL1,DNAJA3,FOXP3,ARNT2,MAPK14,WWP2,TBX5,ZFPM1,NFE2L2,PIAS2,NIF3L1,ZBTB8A,HCLS1,TBX20,CEBPA,GABARAPL1,LMO2,KLF4,DTX3L,NFATC1,HMGB1,SETD1A,KDM1A,CRKL,ETS1,GATA4,E4F1,PPARGC1A,TBP,TBX3,HDAC2,TACC2,SETD6,STK4,CREB1,BBS2,ASAH1,RBPJ,KCNH8,REST,DNAJA1,PSMD10,CRY1,UBXN7,MEF2D,TP53BP2,TACC1,TAF6,CTDP1,GATA6,TBK1,HDAC5,TRIB2,SP100,CPNE1,EGR2,CTNNB1,TRIP4,MTA1,HDAC3,SIN3A,SMARCE1,BBS10,BBS4,BBS1,ANKRD42,TRIB1,CDKN2A,KEAP1,KAT8,PSMA6,ANKRD1,PARP9,MTDH,DAXX,HSPB1,BCAS3,JUN,BRMS1L,SIRT1,DDRGK1,TTC8,ATF4,HDAC1,HAND2,H2BC9,SMARCA1,TP53,JUP,HEY2,NCOA7,ANXA4,NFKBIA,TADA3,HDAC9,SMARCD3,TCF7L2,DDIT3,POTEF,BBS7,RELA,CSNK2B,RBX1,FIZ1,TBX6,HNF1A,STING1,SMAD3,CDK5RAP3,BUD31,PPARG,COMMD8,NR1I2,FOS,FOXC1,SMARCB1,RNF25,SNW1,DMAP1,FBP1,DUSP28,NPM1,NR1H4,SPI1,MLXIPL,MAD2L2,GFI1B,FAM220A,BBS5,NKX2-5,COMMD7,COMMD6,AREG,BHLHE41,BHLHE40,MEF2C,BCL10"
Cytokine Receptor Binding (GO:0005126),0.36011027098042364,1.4177169773140559,0.031198686371100164,0.1844407064895694,109,70,"LIFR,TGFBRAP1,PXDN,USP15,JAK2,PGF,CXCL12,SOCS2,IL6ST,CLCF1,IL1RN,FADD,INHBC,PYCARD,ERAP1,CSF1,SOCS1,SH2B3,TNFSF9,IL11,VEGFD,CRLF1,SMURF1,CCL5,IL6R,IL1B,TRIP6,CCRL2,JAK1,XCL1,RHEX,TYK2,CNTF,IL23A,SPRED1,DNAJA3,PIBF1,EBI3,TIMM50,ADAM8,TLR5,SPRED2,TGFBR3,VEGFB,VEGFA,TGFB2,JAK3,CCM2,SMAD2,LIF,KITLG,SYK,S100A14,SDCBP,CTF1,FKBP1A,DDTL,SOCS3,IL6,S100A9,IL34,CISH,SMAD3,TNFSF18,IL12A,TSLP,IL18,CCL21,TNFSF4,OSMR"
Phosphatidylinositol Phosphate Binding (GO:1901981),0.3352201642068726,1.4066494417595108,0.028052805280528052,0.19077921700498454,112,101,"CERT1,SH3PXD2B,ARAP2,GSDMC,SESTD1,PLEKHA5,ATG2B,RPH3A,MYO10,DENND1B,MYO1B,NLRP3,ARHGAP9,ZFYVE16,RUBCNL,ARAP3,ANXA8L1,GAB2,ANKFY1,IQGAP1,RACGAP1,CYTH3,ZFYVE26,VPS13B,AKT1,PLEKHA8,RUBCN,ADAP2,TECPR1,FCHSD2,DAB2IP,SAP30L,FERMT2,TTPA,RBSN,DNM1,OSBPL5,LAPTM4B,HIP1,JPH2,PHLDA3,OSBP,OSBPL8,PARD3,GAP43,BTK,WDR45B,ZFYVE28,MAPT,OGT,PLEKHB2,WIPI1,DENND1A,ATG2A,GOLPH3L,RCSD1,SNX10,SNX27,OBSCN,WASHC2C,WASHC2A,GSDMB,SNX11,VEPH1,IQGAP2,MAPKAP1,HIP1R,KIF16B,CLVS2,ARAP1,DENND1C,LANCL2,SNX24,PLEKHF1,ARFIP2,PTGES2,TTPAL,SNX13,GOLPH3,PLEKHA4,PLA2G4A,RNF34,TOM1,SNX12,SNX21,WIPI2,ARFIP1,ZFYVE1,SNX22,FUNDC2,SNX4,PLEKHA3,CLVS1,ZFYVE19,DAPP1,SNX3,GSDMD,WDR45,BBS5,COMMD1,PLEKHN1"
Ubiquitin-Ubiquitin Ligase Activity (GO:0034450),0.5195786963011102,1.4051801533084756,0.11172161172161173,0.19089498109297298,15,15,"HUWE1,UBR5,ITCH,PELI2,UBE4B,UBE4A,UBE2K,PPIL2,PELI1,TRAF6,UBOX5,PRPF19,ANAPC11,STUB1,RBX1"
Lysine-Acetylated Histone Binding (GO:0070577),0.4810437592905957,1.4070373655071327,0.08362989323843416,0.19214456546934436,20,18,"ZMYND8,BAZ2A,BRD4,KMT2A,ZZEF1,PSME4,PHIP,BRD2,TRIM24,ZZZ3,BRD9,YEATS4,MLLT1,BRD3,BRD7,MLLT3,CARM1,DPF2"
