chromosome	start	end	strand	gene_id	gene_name	transcript_id	protein_id	uniprot_id	entrez_id
1	35808016	35857890	+	ENSG00000134698	AGO4	ENST00000373210	ENSP00000362306	Q9HCK5	192670
1	32465072	32496686	+	ENSG00000273274	ZBTB8B	ENST00000609129	ENSP00000476499	Q8NAP8	728116
1	10636604	10796650	-	ENSG00000130940	CASZ1	ENST00000377022	ENSP00000366221	Q86V15	54897
1	37556919	37566857	+	ENSG00000163879	DNALI1	ENST00000652629	ENSP00000498620	O14645	7802
1	38838198	38859772	-	ENSG00000116954	RRAGC	ENST00000373001	ENSP00000362092	Q9HB90	64121
1	36795527	37034515	-	ENSG00000163873	GRIK3	ENST00000373091	ENSP00000362183	Q13003	2899
1	20111939	20119566	-	ENSG00000117215	PLA2G2D	ENST00000375105	ENSP00000364246	Q9UNK4	26279
1	42153410	42155820	+	ENSG00000044012	GUCA2B	ENST00000372581	ENSP00000361662	Q16661	2981
1	17406760	17439677	-	ENSG00000179051	RCC2	ENST00000375436	ENSP00000364585	Q9P258	55920
1	35599541	35641526	-	ENSG00000126067	PSMB2	ENST00000373237	ENSP00000362334	P49721	5690
1	38864501	38881617	-	ENSG00000274944		ENST00000621281			
1	36224432	36305357	+	ENSG00000054118	THRAP3	ENST00000354618	ENSP00000346634	Q9Y2W1	9967
1	32465057	32600792	+	ENSG00000254553		ENST00000480336			
1	17372196	17401699	+	ENSG00000276747	PADI6	ENST00000619609	ENSP00000483125	Q6TGC4	353238
1	17308195	17364004	+	ENSG00000159339	PADI4	ENST00000375448	ENSP00000364597	Q9UM07	23569
1	38885807	38941830	-	ENSG00000158315	RHBDL2	ENST00000372990	ENSP00000362081	Q9NX52	54933
1	43145153	43156396	+	ENSG00000186973	CFAP144	ENST00000335282	ENSP00000334415	A6NL82	440585
1	35268709	35422058	+	ENSG00000146463	ZMYM4	ENST00000314607	ENSP00000322915	Q5VZL5	9202
1	35713877	35718894	-	ENSG00000142686	C1orf216	ENST00000270815	ENSP00000425166	Q8TAB5	127703
1	17755333	17827063	+	ENSG00000117148	ACTL8	ENST00000375406	ENSP00000364555	Q9H568	81569
1	40161387	40240921	+	ENSG00000117000	RLF	ENST00000372771	ENSP00000361857	Q13129	6018
1	43650149	43931014	+	ENSG00000284989		ENST00000645057			
1	35720218	35769978	-	ENSG00000092853	CLSPN	ENST00000318121	ENSP00000312995	Q9HAW4	63967
1	37566816	37595937	-	ENSG00000134697	GNL2	ENST00000373062	ENSP00000362153	Q13823	29889
1	34792999	34795747	+	ENSG00000187513	GJA4	ENST00000342280	ENSP00000343676	P35212	2701
1	2321253	2391707	-	ENSG00000116151	MORN1	ENST00000378531	ENSP00000367792	Q5T089	79906
1	54779712	54801323	-	ENSG00000006555	TTC22	ENST00000371276	ENSP00000360323	Q5TAA0	55001
1	38862493	38873368	-	ENSG00000214114	MYCBP	ENST00000397572	ENSP00000380702	Q99417	26292
1	34865436	34929650	-	ENSG00000116544	DLGAP3	ENST00000373347	ENSP00000362444	O95886	58512
1	40620680	40665682	-	ENSG00000117016	RIMS3	ENST00000372684	ENSP00000361769	Q9UJD0	9783
1	34712737	34859755	-	ENSG00000163866	SMIM12	ENST00000521580	ENSP00000428585	Q96EX1	113444
1	53214099	53220634	-	ENSG00000162384	CZIB	ENST00000294360	ENSP00000294360	Q9NWV4	54987
1	54609181	54623556	-	ENSG00000162391	FAM151A	ENST00000302250	ENSP00000306888	Q8WW52	338094
1	51577179	51798427	+	ENSG00000117859	OSBPL9	ENST00000428468	ENSP00000407168	Q96SU4	114883
1	54756898	54764523	-	ENSG00000162396	PARS2	ENST00000371279	ENSP00000360327	Q7L3T8	25973
1	56173433	56524495	-	ENSG00000284686		ENST00000642129			
1	52726453	52827336	+	ENSG00000162378	ZYG11B	ENST00000294353	ENSP00000294353	Q9C0D3	79699
1	54715861	54742657	+	ENSG00000243725	TTC4	ENST00000371281	ENSP00000360329	O95801	7268
1	44118821	44135140	+	ENSG00000171872	KLF17	ENST00000372299	ENSP00000361373	Q5JT82	128209
1	56494761	56645301	-	ENSG00000162407	PLPP3	ENST00000371250	ENSP00000360296	O14495	8613
1	37534449	37554293	-	ENSG00000163877	SNIP1	ENST00000296215	ENSP00000296215	Q8TAD8	79753
1	53196792	53214197	+	ENSG00000157184	CPT2	ENST00000371486	ENSP00000360541	P23786	1376
1	42176539	42335877	-	ENSG00000198815	FOXJ3	ENST00000361346	ENSP00000354620	Q9UPW0	22887
1	52408282	52553487	-	ENSG00000134744	TUT4	ENST00000257177			23318
1	44137821	44141631	-	ENSG00000283039	KLF18	ENST00000634670	ENSP00000489024	A0A0U1RQI7	105378952
1	53226900	53238518	-	ENSG00000162385	MAGOH	ENST00000371470	ENSP00000360525	P61326	4116
1	50960745	50974634	+	ENSG00000123080	CDKN2C	ENST00000371761	ENSP00000360826	P42773	1031
1	59987269	60073770	-	ENSG00000162598	C1orf87	ENST00000371201	ENSP00000360244	Q8N0U7	127795
1	45016399	45306209	-	ENSG00000162415	ZSWIM5	ENST00000359600	ENSP00000352614	Q9P217	57643
1	58415384	58546802	-	ENSG00000162600	OMA1	ENST00000371226	ENSP00000360270	Q96E52	115209
1	66999350	67054148	-	ENSG00000116704	SLC35D1	ENST00000235345	ENSP00000235345	Q9NTN3	23169
1	53242364	53328469	-	ENSG00000157193	LRP8	ENST00000306052	ENSP00000303634	Q14114	7804
1	54053584	54112519	+	ENSG00000116205	TCEANC2	ENST00000234827	ENSP00000234827	Q96MN5	127428
1	62436297	62451804	+	ENSG00000162607	USP1	ENST00000339950	ENSP00000343526	O94782	7398
1	77282019	77559966	+	ENSG00000154027	AK5	ENST00000354567	ENSP00000346577	Q9Y6K8	26289
1	77979542	78138444	+	ENSG00000137960	GIPC2	ENST00000370759	ENSP00000359795	Q8TF65	54810
1	62597520	62606313	+	ENSG00000132855	ANGPTL3	ENST00000371129	ENSP00000360170	Q9Y5C1	27329
1	65248219	65415871	+	ENSG00000116675	DNAJC6	ENST00000371069	ENSP00000360108	O75061	9829
1	65147549	65232145	+	ENSG00000162433	AK4	ENST00000327299	ENSP00000322175	P27144	205
1	65420587	65436007	+	ENSG00000213625	LEPROT	ENST00000371065	ENSP00000360104	O15243	54741
1	64470129	64693058	+	ENSG00000158966	CACHD1	ENST00000651257	ENSP00000498498	Q5VU97	57685
1	84925583	84997113	-	ENSG00000153898	MCOLN2	ENST00000370608	ENSP00000359640	Q8IZK6	255231
1	76867480	77067546	+	ENSG00000117069	ST6GALNAC5	ENST00000477717	ENSP00000417583	Q9BVH7	81849
1	62784132	62865516	+	ENSG00000125703	ATG4C	ENST00000317868	ENSP00000322159	Q96DT6	84938
1	78889764	79282124	-	ENSG00000162618	ADGRL4	ENST00000370742	ENSP00000359778	Q9HBW9	64123
1	38874069	38881587	-	ENSG00000131233	GJA9	ENST00000357771	ENSP00000350415	P57773	81025
1	83865024	83999150	-	ENSG00000137941	TTLL7	ENST00000260505	ENSP00000260505	Q6ZT98	79739
1	43650149	43705518	+	ENSG00000066135	KDM4A	ENST00000372396	ENSP00000361473	O75164	9682
1	41585306	41628816	-	ENSG00000284895		ENST00000646142			128125817
1	85649417	85708433	-	ENSG00000117174	ZNHIT6	ENST00000370574	ENSP00000359606	Q9NWK9	54680
1	54641754	54710266	+	ENSG00000184313	MROH7	ENST00000421030	ENSP00000396622	Q68CQ1	374977
1	78303884	78540701	+	ENSG00000122420	PTGFR	ENST00000370757	ENSP00000359793	P43088	5737
1	87328880	87348923	+	ENSG00000143013	LMO4	ENST00000370544	ENSP00000359575	P61968	8543
1	52404602	52420836	+	ENSG00000134748	PRPF38A	ENST00000257181	ENSP00000257181	Q8NAV1	84950
1	77088989	77219430	-	ENSG00000142892	PIGK	ENST00000370812	ENSP00000359848	Q92643	10026
1	42162690	42164745	-	ENSG00000197273	GUCA2A	ENST00000357001	ENSP00000349493	Q02747	2980
1	62454298	62688386	-	ENSG00000116641	DOCK7	ENST00000635253	ENSP00000489124	Q96N67	85440
1	71395943	72282539	-	ENSG00000172260	NEGR1	ENST00000357731	ENSP00000350364	Q7Z3B1	257194
1	52633168	52669683	+	ENSG00000182183	SHISAL2A	ENST00000517870	ENSP00000429726	Q6UWV7	348378
1	89633140	89933250	+	ENSG00000271949		ENST00000370453			
1	93866284	93879918	-	ENSG00000067334	DNTTIP2	ENST00000436063	ENSP00000411010	Q5QJE6	30836
1	43525187	43623666	+	ENSG00000142949	PTPRF	ENST00000359947	ENSP00000353030	P10586	5792
1	85729233	86156943	-	ENSG00000171502	COL24A1	ENST00000370571	ENSP00000359603	Q17RW2	255631
1	52602371	52609051	+	ENSG00000116157	GPX7	ENST00000361314	ENSP00000354677	Q96SL4	2882
1	94820342	94895246	+	ENSG00000143036	SLC44A3	ENST00000271227	ENSP00000271227	Q8N4M1	126969
1	88684222	88836255	+	ENSG00000065243	PKN2	ENST00000370521	ENSP00000359552	Q16513	5586
1	94418389	94518666	+	ENSG00000117528	ABCD3	ENST00000370214	ENSP00000359233	P28288	5825
1	54641786	54742308	+	ENSG00000271723	MROH7-TTC4	ENST00000414150			
1	77562416	77683419	-	ENSG00000036549	ZZZ3	ENST00000370801	ENSP00000359837	Q8IYH5	26009
1	99970011	100083321	+	ENSG00000283761		ENST00000639037			
1	34759740	34762327	+	ENSG00000189433	GJB4	ENST00000339480	ENSP00000345868	Q9NTQ9	127534
1	50417550	50423443	-	ENSG00000142700	DMRTA2	ENST00000404795	ENSP00000383909	Q96SC8	63950
1	41506365	42035925	-	ENSG00000127124	HIVEP3	ENST00000372583	ENSP00000361664	Q5T1R4	59269
1	93561741	93847150	-	ENSG00000137936	BCAR3	ENST00000260502	ENSP00000260502	O75815	8412
1	90711539	90717302	-	ENSG00000143032	BARHL2	ENST00000370445	ENSP00000359474	Q9NY43	343472
1	94896949	94927223	-	ENSG00000117519	CNN3	ENST00000370206	ENSP00000359225	Q15417	1266
1	107571161	107965180	-	ENSG00000134215	VAV3	ENST00000370056	ENSP00000359073	Q9UKW4	10451
1	95117355	95197607	+	ENSG00000152078	TLCD4	ENST00000370203	ENSP00000359222	Q96MV1	148534
1	89821014	89936611	+	ENSG00000171492	LRRC8D	ENST00000337338	ENSP00000338887	Q7L1W4	55144
1	101236865	101243713	+	ENSG00000170989	S1PR1	ENST00000305352	ENSP00000305416	P21453	1901
1	109113679	109206781	+	ENSG00000116299	ELAPOR1	ENST00000369939	ENSP00000358955	Q6UXG2	57535
1	94148988	94275068	-	ENSG00000137962	ARHGAP29	ENST00000260526	ENSP00000260526	Q52LW3	9411
1	94148988	94275068	-	ENSG00000137962	ARHGAP29	ENST00000260526	ENSP00000260526	Q52LW3	105378858
1	18107798	18378483	+	ENSG00000117154	IGSF21	ENST00000251296	ENSP00000251296	Q96ID5	84966
1	52684449	52698347	-	ENSG00000162377	COA7	ENST00000371538	ENSP00000360593	Q96BR5	65260
1	113979391	114035572	+	ENSG00000116774	OLFML3	ENST00000320334	ENSP00000322273	Q9NRN5	56944
1	93885199	93909456	-	ENSG00000023909	GCLM	ENST00000370238	ENSP00000359258	P48507	2730
1	91680343	91906335	-	ENSG00000069702	TGFBR3	ENST00000212355	ENSP00000212355	Q03167	7049
1	43389882	43454247	+	ENSG00000198198	SZT2	ENST00000634258	ENSP00000489255	Q5T011	23334
1	113696831	113759489	-	ENSG00000116793	PHTF1	ENST00000369604	ENSP00000358617	Q9UMS5	10745
1	94529173	94541759	-	ENSG00000117525	F3	ENST00000334047	ENSP00000334145	P13726	2152
1	117367449	117528872	+	ENSG00000198162	MAN1A2	ENST00000356554	ENSP00000348959	O60476	10905
1	84811602	84893206	-	ENSG00000171517	LPAR3	ENST00000370611	ENSP00000359643	Q9UBY5	23566
1	112396214	112463456	+	ENSG00000143079	CTTNBP2NL	ENST00000271277	ENSP00000271277	Q9P2B4	55917
1	111346600	111353013	+	ENSG00000173947	CIMAP3	ENST00000369738	ENSP00000358753	Q8TCI5	128344
1	115048011	115089503	-	ENSG00000134198	TSPAN2	ENST00000369516	ENSP00000358529	O60636	10100
1	99969351	100035634	+	ENSG00000117620	SLC35A3	ENST00000533028	ENSP00000433849	Q9Y2D2	23443
1	99850361	99924023	+	ENSG00000162688	AGL	ENST00000361915	ENSP00000355106	P35573	178
1	110150494	110202202	+	ENSG00000197106	SLC6A17	ENST00000331565	ENSP00000330199	Q9H1V8	388662
1	103525691	103555239	+	ENSG00000185946	RNPC3	ENST00000423855	ENSP00000391432	Q96LT9	55599
1	98661701	98760500	+	ENSG00000162627	SNX7	ENST00000306121	ENSP00000304429	Q9UNH6	51375
1	120150898	120176520	-	ENSG00000265808	SEC22B	ENST00000578049	ENSP00000463393	O75396	9554
1	116909916	116990353	+	ENSG00000134247	PTGFRN	ENST00000393203	ENSP00000376899	Q9P2B2	5738
1	89995110	90035533	+	ENSG00000162664	ZNF326	ENST00000340281	ENSP00000340796	Q5BKZ1	284695
1	117111060	117122587	-	ENSG00000134253	TRIM45	ENST00000256649	ENSP00000256649	Q9H8W5	80263
1	117606048	117628389	+	ENSG00000183508	TENT5C	ENST00000369448	ENSP00000358458	Q5VWP2	54855
1	114854863	114995370	+	ENSG00000198765	SYCP1	ENST00000369522	ENSP00000358535	Q15431	6847
1	151197949	151249536	+	ENSG00000143398	PIP5K1A	ENST00000368888	ENSP00000357883	Q99755	8394
1	117863485	117929621	-	ENSG00000196505	GDAP2	ENST00000369443	ENSP00000358451	Q9NXN4	54834
1	115029826	115034302	+	ENSG00000134200	TSHB	ENST00000256592	ENSP00000256592	P01222	7252
1	117929720	117966543	+	ENSG00000065183	WDR3	ENST00000349139	ENSP00000308179	Q9UNX4	10885
1	151156664	151170296	+	ENSG00000163156	SCNM1	ENST00000368905	ENSP00000357901	Q9BWG6	79005
1	151156664	151170296	+	ENSG00000163156	SCNM1	ENST00000368905	ENSP00000357901	Q9BWG6	100534012
1	121184811	121392874	+	ENSG00000171943	SRGAP2C	ENST00000367123	ENSP00000478290	P0DJJ0	653464
1	117953590	118185228	-	ENSG00000155761	SPAG17	ENST00000336338	ENSP00000337804	Q6Q759	200162
1	117060326	117107453	+	ENSG00000116830	TTF2	ENST00000369466	ENSP00000358478	Q9UNY4	8458
1	113390515	113685923	+	ENSG00000081026	MAGI3	ENST00000307546	ENSP00000304604	Q5TCQ9	260425
1	151070578	151125542	+	ENSG00000143458	GABPB2	ENST00000368918	ENSP00000357914	Q8TAK5	126626
1	151159748	151165948	-	ENSG00000163155	LYSMD1	ENST00000368908	ENSP00000357904	Q96S90	388695
1	116754430	116769229	+	ENSG00000116824	CD2	ENST00000369478	ENSP00000358490	P06729	914
1	145607988	145670650	+	ENSG00000117262	GPR89A	ENST00000313835	ENSP00000319673	B7ZAQ6	51463
1	145607988	145670650	+	ENSG00000117262	GPR89A	ENST00000313835	ENSP00000319673	B7ZAQ6	653519
1	109910242	109930992	+	ENSG00000184371	CSF1	ENST00000329608	ENSP00000327513	P09603	1435
1	151156649	151159749	+	ENSG00000163154	TNFAIP8L2	ENST00000368910	ENSP00000357906	Q6P589	79626
1	167916675	167937072	-	ENSG00000143158	MPC2	ENST00000271373	ENSP00000271373	O95563	25874
1	95117923	95247225	+	ENSG00000271092	TLCD4-RWDD3	ENST00000604534			100527978
1	169662007	169854080	+	ENSG00000000460	FIRRM	ENST00000359326	ENSP00000352276	Q9NSG2	55732
1	183023420	183145592	+	ENSG00000135862	LAMC1	ENST00000258341	ENSP00000258341	P11047	3915
1	169132531	169367948	-	ENSG00000143156	NME7	ENST00000367811	ENSP00000356785	Q9Y5B8	29922
1	167630093	167708696	+	ENSG00000198771	RCSD1	ENST00000367854	ENSP00000356828	Q6JBY9	92241
1	168540768	168543997	-	ENSG00000143185	XCL2	ENST00000367819	ENSP00000356793	Q9UBD3	6846
1	167220876	167427345	+	ENSG00000143190	POU2F1	ENST00000367866	ENSP00000356840	P14859	5451
1	165400922	165445355	-	ENSG00000143171	RXRG	ENST00000359842	ENSP00000352900	P48443	6258
1	186311652	186375693	-	ENSG00000047410	TPR	ENST00000367478	ENSP00000356448	P12270	7175
1	169792529	169794963	-	ENSG00000171806	METTL18	ENST00000310392	ENSP00000307975	O95568	92342
1	111290851	111320566	+	ENSG00000134216	CHIA	ENST00000369740	ENSP00000358755	Q9BZP6	27159
1	184790724	184974508	-	ENSG00000135842	NIBAN1	ENST00000367511	ENSP00000356481	Q9BZQ8	116496
1	159535078	159536007	-	ENSG00000184155	OR10J5	ENST00000334857	ENSP00000334441	Q8NHC4	127385
1	183186238	183245127	+	ENSG00000058085	LAMC2	ENST00000264144	ENSP00000264144	Q13753	3918
1	167052836	167166479	-	ENSG00000143167	GPA33	ENST00000367868	ENSP00000356842	Q99795	10223
1	168576605	168582069	+	ENSG00000143184	XCL1	ENST00000367818	ENSP00000356792	P47992	6375
1	163266576	163355764	+	ENSG00000143228	NUF2	ENST00000271452	ENSP00000271452	Q9BZD4	83540
1	200027614	200177420	+	ENSG00000116833	NR5A2	ENST00000367362	ENSP00000356331	O00482	2494
1	169849631	169894267	-	ENSG00000000457	SCYL3	ENST00000367771	ENSP00000356745	Q8IZE3	57147
1	183248237	183418380	-	ENSG00000157064	NMNAT2	ENST00000287713	ENSP00000287713	Q9BZQ4	23057
1	234391313	234479179	-	ENSG00000059588	TARBP1	ENST00000040877	ENSP00000040877	Q13395	6894
1	179591613	179691272	+	ENSG00000162782	TDRD5	ENST00000444136	ENSP00000406052	Q8NAT2	163589
1	246540561	246566261	-	ENSG00000162851	TFB2M	ENST00000366514	ENSP00000355471	Q9H5Q4	64216
1	219173869	219212865	+	ENSG00000143353	LYPLAL1	ENST00000366928	ENSP00000355895	Q5VWZ2	127018
1	167721192	167791919	+	ENSG00000197965	MPZL1	ENST00000359523	ENSP00000352513	O95297	9019
1	211940399	212035557	-	ENSG00000143493	INTS7	ENST00000366994	ENSP00000355961	Q9NVH2	25896
1	244454377	244641177	+	ENSG00000179397	CATSPERE	ENST00000366534	ENSP00000355492	Q5SY80	257044
1	236348257	236502915	+	ENSG00000186197	EDARADD	ENST00000334232	ENSP00000335076	Q8WWZ3	128178
1	190097658	190478404	-	ENSG00000162670	BRINP3	ENST00000367462	ENSP00000356432	Q76B58	339479
1	165201867	165356715	-	ENSG00000162761	LMX1A	ENST00000342310	ENSP00000340226	Q8TE12	4009
1	167809386	167914215	-	ENSG00000143199	ADCY10	ENST00000367851	ENSP00000356825	Q96PN6	55811
1	169722640	169764705	-	ENSG00000007908	SELE	ENST00000333360	ENSP00000331736	P16581	6401
1	217426992	217631090	-	ENSG00000092978	GPATCH2	ENST00000366935	ENSP00000355902	Q9NW75	55105
1	169690665	169711702	-	ENSG00000188404	SELL	ENST00000236147	ENSP00000236147	P14151	6402
1	223538007	223665723	-	ENSG00000203697	CAPN8	ENST00000366872	ENSP00000355837	A6NHC0	388743
1	228735479	228746664	+	ENSG00000116574	RHOU	ENST00000366691	ENSP00000355652	Q7L0Q8	58480
1	163111121	163321791	-	ENSG00000143248	RGS5	ENST00000313961	ENSP00000319308	O15539	8490
1	217631324	217871696	+	ENSG00000162814	SPATA17	ENST00000366933	ENSP00000355900	Q96L03	128153
1	170662728	170739421	+	ENSG00000116132	PRRX1	ENST00000239461	ENSP00000239461	P54821	5396
1	176857302	177164973	-	ENSG00000152092	ASTN1	ENST00000361833	ENSP00000354536	O14525	460
1	212035553	212107400	+	ENSG00000143476	DTL	ENST00000366991	ENSP00000355958	Q9NZJ0	51514
1	179293714	179358680	+	ENSG00000057252	SOAT1	ENST00000367619	ENSP00000356591	P35610	6646
1	246566444	246668595	+	ENSG00000162852	CNST	ENST00000366513	ENSP00000355470	Q6PJW8	163882
1	235975830	236065109	-	ENSG00000116962	NID1	ENST00000264187	ENSP00000264187	P14543	4811
1	227563543	227677443	+	ENSG00000181450	ZNF678	ENST00000343776	ENSP00000344828	Q5SXM1	339500
1	197911902	197935478	+	ENSG00000143355	LHX9	ENST00000367387	ENSP00000356357	Q9NQ69	56956
1	205913048	205943460	-	ENSG00000174502	SLC26A9	ENST00000367135	ENSP00000356103	Q7LBE3	115019
1	166895711	166975540	-	ENSG00000143195	ILDR2	ENST00000271417	ENSP00000271417	Q71H61	387597
1	245154985	245709432	+	ENSG00000162849	KIF26B	ENST00000407071	ENSP00000385545	Q2KJY2	55083
1	218285293	218337983	+	ENSG00000067533	RRP15	ENST00000366932	ENSP00000355899	Q9Y3B9	51018
1	214348700	214552449	-	ENSG00000152104	PTPN14	ENST00000366956	ENSP00000355923	Q15678	5784
1	211658657	211675630	-	ENSG00000117650	NEK2	ENST00000366999	ENSP00000355966	P51955	4751
1	197902630	197907367	+	ENSG00000203724	C1orf53	ENST00000367393	ENSP00000356363	Q5VUE5	388722
1	235109341	235128837	-	ENSG00000173726	TOMM20	ENST00000366607	ENSP00000355566	Q15388	9804
1	166856510	166876264	-	ENSG00000152382	TADA1	ENST00000367874	ENSP00000356848	Q96BN2	117143
1	182839347	182887982	+	ENSG00000135829	DHX9	ENST00000367549	ENSP00000356520	Q08211	1660
1	52056199	52090716	+	ENSG00000134717	BTF3L4	ENST00000313334	ENSP00000360664	Q96K17	91408
1	175944831	176207286	-	ENSG00000143207	COP1	ENST00000367669	ENSP00000356641	Q8NHY2	64326
1	192158462	192185815	+	ENSG00000150681	RGS18	ENST00000367460	ENSP00000356430	Q9NS28	64407
1	231241207	231277973	+	ENSG00000116906	GNPAT	ENST00000366647	ENSP00000355607	O15228	8443
1	218345336	218444619	+	ENSG00000092969	TGFB2	ENST00000366930	ENSP00000355897	P61812	7042
1	186375838	186421378	+	ENSG00000157181	ODR4	ENST00000287859	ENSP00000287859	Q5SWX8	54953
1	171314183	171342084	+	ENSG00000076258	FMO4	ENST00000367749	ENSP00000356723	P31512	2329
1	212726153	212791782	-	ENSG00000117697	NSL1	ENST00000366977	ENSP00000355944	Q96IY1	25936
1	91260766	91404856	-	ENSG00000162669	HFM1	ENST00000370425	ENSP00000359454	A2PYH4	164045
1	230057990	230282122	+	ENSG00000143641	GALNT2	ENST00000366672	ENSP00000355632	Q10471	2590
1	171248471	171285978	+	ENSG00000010932	FMO1	ENST00000617670	ENSP00000481732	Q01740	2326
1	231337104	231355023	+	ENSG00000010072	SPRTN	ENST00000295050	ENSP00000295050	Q9H040	83932
1	231363751	231422287	-	ENSG00000135766	EGLN1	ENST00000366641	ENSP00000355601	Q9GZT9	54583
1	235547685	235650754	-	ENSG00000168243	GNG4	ENST00000391854	ENSP00000375727	P50150	2786
1	176463171	176845601	+	ENSG00000116183	PAPPA2	ENST00000367662	ENSP00000356634	Q9BXP8	60676
1	204617170	204685738	-	ENSG00000170382	LRRN2	ENST00000367177	ENSP00000356145	O75325	10446
1	212285410	212361853	+	ENSG00000066027	PPP2R5A	ENST00000261461	ENSP00000261461	Q15172	5525
1	244352635	244389663	+	ENSG00000173728	SPMIP3	ENST00000308105	ENSP00000311218	Q5SVJ3	200159
1	212830141	212847649	-	ENSG00000185523	SPATA45	ENST00000332912	ENSP00000419160	Q537H7	149643
1	186828949	186988981	+	ENSG00000116711	PLA2G4A	ENST00000367466	ENSP00000356436	P47712	5321
1	182899865	182953525	-	ENSG00000157060	SHCBP1L	ENST00000367547	ENSP00000356518	Q9BZQ2	81626
1	211743457	211830763	-	ENSG00000123684	LPGAT1	ENST00000366997	ENSP00000355964	Q92604	9926
1	231363797	231528603	-	ENSG00000287856		ENST00000662216			
1	212791828	212816830	+	ENSG00000203705	TATDN3	ENST00000366974	ENSP00000355941	Q17R31	128387
1	169588849	169630193	-	ENSG00000174175	SELP	ENST00000263686	ENSP00000263686	P16109	6403
1	209583714	209613939	+	ENSG00000008118	CAMK1G	ENST00000361322	ENSP00000354861	Q96NX5	57172
1	248838210	248849517	+	ENSG00000171161	ZNF672	ENST00000306562	ENSP00000421915	Q499Z4	79894
1	209614870	209652425	-	ENSG00000196878	LAMB3	ENST00000356082	ENSP00000348384	Q13751	3914
1	17539698	17697874	+	ENSG00000074964	ARHGEF10L	ENST00000361221	ENSP00000355060	Q9HCE6	55160
1	162069691	162370475	+	ENSG00000198929	NOS1AP	ENST00000361897	ENSP00000355133	O75052	9722
1	212992182	213015867	-	ENSG00000174606	ANGEL2	ENST00000366962	ENSP00000355929	Q5VTE6	90806
